Dispositivo;Extenso;Usuarios;dia;mes;ano;Data
mobile;20230810;104;10;8;2023;10/08/2023
mobile;20231005;93;5;10;2023;05/10/2023
mobile;20230826;91;26;8;2023;26/08/2023
mobile;20230831;89;31;8;2023;31/08/2023
mobile;20230915;89;15;9;2023;15/09/2023
mobile;20230916;87;16;9;2023;16/09/2023
mobile;20230824;82;24;8;2023;24/08/2023
mobile;20230927;82;27;9;2023;27/09/2023
mobile;20230813;79;13;8;2023;13/08/2023
desktop;20230915;76;15;9;2023;15/09/2023
mobile;20230903;74;3;9;2023;03/09/2023
mobile;20230825;73;25;8;2023;25/08/2023
desktop;20231005;70;5;10;2023;05/10/2023
mobile;20231008;70;8;10;2023;08/10/2023
mobile;20230805;69;5;8;2023;05/08/2023
mobile;20230808;69;8;8;2023;08/08/2023
mobile;20230809;69;9;8;2023;09/08/2023
mobile;20230820;69;20;8;2023;20/08/2023
mobile;20231007;69;7;10;2023;07/10/2023
desktop;20230901;68;1;9;2023;01/09/2023
mobile;20230901;68;1;9;2023;01/09/2023
mobile;20230930;68;30;9;2023;30/09/2023
mobile;20230806;67;6;8;2023;06/08/2023
mobile;20230928;65;28;9;2023;28/09/2023
desktop;20230809;64;9;8;2023;09/08/2023
desktop;20230928;64;28;9;2023;28/09/2023
mobile;20231004;62;4;10;2023;04/10/2023
desktop;20230831;61;31;8;2023;31/08/2023
desktop;20230927;61;27;9;2023;27/09/2023
desktop;20231006;61;6;10;2023;06/10/2023
mobile;20230819;61;19;8;2023;19/08/2023
mobile;20231006;59;6;10;2023;06/10/2023
desktop;20230825;58;25;8;2023;25/08/2023
desktop;20230919;58;19;9;2023;19/09/2023
desktop;20230807;57;7;8;2023;07/08/2023
mobile;20230919;57;19;9;2023;19/09/2023
mobile;20230822;55;22;8;2023;22/08/2023
desktop;20230823;54;23;8;2023;23/08/2023
desktop;20230828;54;28;8;2023;28/08/2023
mobile;20230827;54;27;8;2023;27/08/2023
mobile;20230902;54;2;9;2023;02/09/2023
mobile;20230921;53;21;9;2023;21/09/2023
desktop;20230830;52;30;8;2023;30/08/2023
desktop;20230921;52;21;9;2023;21/09/2023
mobile;20230912;52;12;9;2023;12/09/2023
desktop;20230811;51;11;8;2023;11/08/2023
mobile;20230811;51;11;8;2023;11/08/2023
mobile;20230907;51;7;9;2023;07/09/2023
mobile;20230920;51;20;9;2023;20/09/2023
mobile;20230929;51;29;9;2023;29/09/2023
desktop;20230824;50;24;8;2023;24/08/2023
desktop;20230914;50;14;9;2023;14/09/2023
desktop;20230926;50;26;9;2023;26/09/2023
mobile;20230830;50;30;8;2023;30/08/2023
mobile;20230914;50;14;9;2023;14/09/2023
mobile;20231003;50;3;10;2023;03/10/2023
desktop;20230808;49;8;8;2023;08/08/2023
desktop;20230905;49;5;9;2023;05/09/2023
mobile;20230823;49;23;8;2023;23/08/2023
mobile;20230922;49;22;9;2023;22/09/2023
mobile;20230807;48;7;8;2023;07/08/2023
mobile;20230918;48;18;9;2023;18/09/2023
mobile;20231001;48;1;10;2023;01/10/2023
desktop;20231009;47;9;10;2023;09/10/2023
mobile;20230906;47;6;9;2023;06/09/2023
desktop;20230906;46;6;9;2023;06/09/2023
mobile;20230908;46;8;9;2023;08/09/2023
mobile;20230917;46;17;9;2023;17/09/2023
mobile;20230926;46;26;9;2023;26/09/2023
mobile;20231009;46;9;10;2023;09/10/2023
mobile;20231011;46;11;10;2023;11/10/2023
desktop;20230827;45;27;8;2023;27/08/2023
desktop;20230904;45;4;9;2023;04/09/2023
desktop;20231004;45;4;10;2023;04/10/2023
mobile;20230812;45;12;8;2023;12/08/2023
mobile;20230923;45;23;9;2023;23/09/2023
desktop;20230913;44;13;9;2023;13/09/2023
desktop;20230918;44;18;9;2023;18/09/2023
mobile;20231002;44;2;10;2023;02/10/2023
desktop;20230911;43;11;9;2023;11/09/2023
desktop;20230916;43;16;9;2023;16/09/2023
desktop;20230920;43;20;9;2023;20/09/2023
mobile;20230821;43;21;8;2023;21/08/2023
mobile;20230924;43;24;9;2023;24/09/2023
desktop;20230804;42;4;8;2023;04/08/2023
desktop;20230821;42;21;8;2023;21/08/2023
desktop;20231003;42;3;10;2023;03/10/2023
mobile;20230829;42;29;8;2023;29/08/2023
mobile;20231012;42;12;10;2023;12/10/2023
mobile;20231014;42;14;10;2023;14/10/2023
desktop;20230903;41;3;9;2023;03/09/2023
mobile;20230804;41;4;8;2023;04/08/2023
mobile;20231015;41;15;10;2023;15/10/2023
desktop;20230925;40;25;9;2023;25/09/2023
mobile;20230828;40;28;8;2023;28/08/2023
desktop;20230929;39;29;9;2023;29/09/2023
mobile;20230803;39;3;8;2023;03/08/2023
mobile;20230818;39;18;8;2023;18/08/2023
desktop;20230810;38;10;8;2023;10/08/2023
desktop;20230819;38;19;8;2023;19/08/2023
desktop;20230822;38;22;8;2023;22/08/2023
desktop;20230829;38;29;8;2023;29/08/2023
desktop;20230908;38;8;9;2023;08/09/2023
desktop;20230912;38;12;9;2023;12/09/2023
desktop;20231002;38;2;10;2023;02/10/2023
mobile;20230815;38;15;8;2023;15/08/2023
mobile;20230816;38;16;8;2023;16/08/2023
mobile;20230913;38;13;9;2023;13/09/2023
desktop;20230817;37;17;8;2023;17/08/2023
desktop;20230826;37;26;8;2023;26/08/2023
desktop;20230922;37;22;9;2023;22/09/2023
mobile;20230905;37;5;9;2023;05/09/2023
mobile;20231013;37;13;10;2023;13/10/2023
desktop;20230815;36;15;8;2023;15/08/2023
mobile;20230925;36;25;9;2023;25/09/2023
desktop;20230820;35;20;8;2023;20/08/2023
mobile;20230909;35;9;9;2023;09/09/2023
mobile;20230910;35;10;9;2023;10/09/2023
desktop;20230814;34;14;8;2023;14/08/2023
mobile;20230814;34;14;8;2023;14/08/2023
mobile;20231010;34;10;10;2023;10/10/2023
desktop;20230806;33;6;8;2023;06/08/2023
desktop;20231014;33;14;10;2023;14/10/2023
mobile;20230904;33;4;9;2023;04/09/2023
desktop;20230803;31;3;8;2023;03/08/2023
desktop;20230805;31;5;8;2023;05/08/2023
desktop;20230902;31;2;9;2023;02/09/2023
desktop;20230818;30;18;8;2023;18/08/2023
desktop;20231008;30;8;10;2023;08/10/2023
mobile;20230817;30;17;8;2023;17/08/2023
desktop;20231011;29;11;10;2023;11/10/2023
desktop;20230930;28;30;9;2023;30/09/2023
mobile;20230911;28;11;9;2023;11/09/2023
desktop;20230813;26;13;8;2023;13/08/2023
desktop;20230917;26;17;9;2023;17/09/2023
desktop;20230923;25;23;9;2023;23/09/2023
desktop;20230816;24;16;8;2023;16/08/2023
desktop;20231010;24;10;10;2023;10/10/2023
desktop;20230812;23;12;8;2023;12/08/2023
desktop;20230907;23;7;9;2023;07/09/2023
desktop;20231001;23;1;10;2023;01/10/2023
desktop;20231007;23;7;10;2023;07/10/2023
desktop;20231012;23;12;10;2023;12/10/2023
desktop;20231013;22;13;10;2023;13/10/2023
desktop;20230909;21;9;9;2023;09/09/2023
desktop;20230910;20;10;9;2023;10/09/2023
desktop;20231015;20;15;10;2023;15/10/2023
desktop;20230924;15;24;9;2023;24/09/2023
tablet;20230820;2;20;8;2023;20/08/2023
tablet;20230821;2;21;8;2023;21/08/2023
tablet;20230824;2;24;8;2023;24/08/2023
tablet;20230917;2;17;9;2023;17/09/2023
tablet;20231010;2;10;10;2023;10/10/2023
tablet;20230804;1;4;8;2023;04/08/2023
tablet;20230807;1;7;8;2023;07/08/2023
tablet;20230808;1;8;8;2023;08/08/2023
tablet;20230811;1;11;8;2023;11/08/2023
tablet;20230812;1;12;8;2023;12/08/2023
tablet;20230817;1;17;8;2023;17/08/2023
tablet;20230818;1;18;8;2023;18/08/2023
tablet;20230819;1;19;8;2023;19/08/2023
tablet;20230831;1;31;8;2023;31/08/2023
tablet;20230901;1;1;9;2023;01/09/2023
tablet;20230903;1;3;9;2023;03/09/2023
tablet;20230905;1;5;9;2023;05/09/2023
tablet;20230907;1;7;9;2023;07/09/2023
