Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Rio de Janeiro;20230915;52;48;99;97;15/09/2023
Rio de Janeiro;20230901;47;34;80;76;01/09/2023
Rio de Janeiro;20230825;40;32;72;71;25/08/2023
Rio de Janeiro;20230827;37;29;60;58;27/08/2023
Rio de Janeiro;20230826;36;42;73;73;26/08/2023
Rio de Janeiro;20230914;36;19;56;54;14/09/2023
Rio de Janeiro;20230831;35;30;61;60;31/08/2023
Rio de Janeiro;20230916;34;42;74;69;16/09/2023
Rio de Janeiro;20230819;33;29;59;56;19/08/2023
Rio de Janeiro;20230818;31;15;46;44;18/08/2023
Rio de Janeiro;20230820;31;33;66;62;20/08/2023
Rio de Janeiro;20230823;31;31;62;61;23/08/2023
Rio de Janeiro;20230830;31;31;61;60;30/08/2023
Rio de Janeiro;20230903;31;27;58;56;03/09/2023
Rio de Janeiro;20230810;30;58;83;82;10/08/2023
Rio de Janeiro;20230902;29;19;50;46;02/09/2023
Rio de Janeiro;20230807;28;33;60;57;07/08/2023
Rio de Janeiro;20230809;28;49;76;75;09/08/2023
Rio de Janeiro;20230811;28;29;58;54;11/08/2023
Rio de Janeiro;20230814;28;21;46;45;14/08/2023
Rio de Janeiro;20230821;28;23;49;46;21/08/2023
Rio de Janeiro;20230824;28;29;56;54;24/08/2023
Rio de Janeiro;20230913;28;20;48;48;13/09/2023
Rio de Janeiro;20230808;27;44;67;62;08/08/2023
Rio de Janeiro;20230813;27;45;67;67;13/08/2023
Rio de Janeiro;20230905;27;20;47;44;05/09/2023
Rio de Janeiro;20230918;27;23;51;49;18/09/2023
Rio de Janeiro;20230904;26;18;42;41;04/09/2023
Rio de Janeiro;20230911;26;9;36;34;11/09/2023
Rio de Janeiro;20230828;25;20;47;43;28/08/2023
Rio de Janeiro;20230804;23;35;49;48;04/08/2023
Rio de Janeiro;20230812;23;20;44;39;12/08/2023
Rio de Janeiro;20230817;23;18;39;38;17/08/2023
Rio de Janeiro;20230829;23;20;43;41;29/08/2023
Rio de Janeiro;20230908;23;22;45;43;08/09/2023
Rio de Janeiro;20230906;22;27;53;49;06/09/2023
Rio de Janeiro;20230806;21;36;55;53;06/08/2023
Rio de Janeiro;20230815;21;23;41;39;15/08/2023
Rio de Janeiro;20230822;21;25;45;44;22/08/2023
Rio de Janeiro;20230907;20;22;45;41;07/09/2023
Rio de Janeiro;20230910;20;14;30;30;10/09/2023
Rio de Janeiro;20230917;20;15;34;33;17/09/2023
Rio de Janeiro;20230912;19;28;50;45;12/09/2023
Rio de Janeiro;20230816;15;19;35;34;16/08/2023
Rio de Janeiro;20230805;14;41;50;49;05/08/2023
Rio de Janeiro;20230803;13;27;35;34;03/08/2023
Rio de Janeiro;20230909;11;11;24;22;09/09/2023
Sao Paulo;20230825;9;8;20;18;25/08/2023
Sao Paulo;20230811;8;15;19;19;11/08/2023
Sao Paulo;20230810;7;7;16;16;10/08/2023
Sao Paulo;20230827;7;2;9;8;27/08/2023
Sao Paulo;20230903;7;16;22;21;03/09/2023
Federal District;20230828;6;3;9;9;28/08/2023
Federal District;20230901;6;2;7;7;01/09/2023
Minas Gerais;20230826;6;1;7;7;26/08/2023
Minas Gerais;20230828;6;0;6;6;28/08/2023
Minas Gerais;20230830;6;1;6;6;30/08/2023
